QNUM,CLUS,SELEC,TRLHD,SEASON,PRTYREP,ORIGIN,WEIGHT,TRAVEL,NUMHORS,HORSFED,HRSHNDL,FISH,HUNT,HIKE,NATUR,MTNCLM,RAFT,SWIM,PHOTO,OTHACT,NUMACT,GRIZOBS,BEAROBS,SUMBEAR,ELKOBS,DEEROBS,GOATOBS,MOOSOBS,SHPOBS,OTHROBS,NUMWOBS,SHOT1,SHOT2,SHOT3,STAY,FIRE,OUTFTR,MAPS,TYPMAP,SOLE,VISIT,AGEFST,PARENT,NEWAREA,EXPBOB,NUMBOB,AQUAL,DIFF,LOCCHO,WHOCHO,TIMCHO,TRLINF1,TRLINF2,TRLINF3,RESTRL1,RESTRL2,RESTRL,OTHRTRL,RESREJ1,RESREJ2,FSINFO,FSCONT,QUALINF,NUMVIS,NUMDAYS,SCENRY,FSHIMP,HUNTIMP,RELAX,EXERCZ,ESCAPE,DEVSKL,SOLTUD,CHALNG,AVDMEC,OTHRES,SATIS,HIPT1,HIPT2,HIPT3,LOPT1,LOPT2,LOPT3,SOLSTD,CAMPSOL,ESTCAMP,REJCOND,RESCOND,REJLOC,RESLOC,CMPSRCH,PROBCMP,TYPCMP,CROWD,NUMSEEN,LRGSEEN,HRSSEEN,NUMCMP,VISWLD,WCHWLD,HOWFAR,OFFTRL,LOOP,CRDPROB,CRDSPOT,WEAR,LITTER,WRONG,HITRHL,LOTRAIL,TRLLESS,TREES,SMLBRG,BIGBRG,PRIVY,FRPLC,FRRING,NATFIRE,CORRAL,NOHORSE,NOFIRE,TABLE,RATION,NOGRAZ,REQREG,NATFSH,SZLIMT,FT200,RMVRNG,EXSIGN,BURY,PWRSAW,GUIDBK,ACCMAP,ASSIGN,DNWOOD,FSHEAT,PAKOUT,WLDRNG,METRNG,COMENT,WLDIMP,BESTWLD,BESTREC,AGAIN,SIZE,LITBOY,LITGIRL,BOYS,GIRLS,FELLAS,GALS,MEN,WOMEN,TYPGRP,CLUB,TYPCLUB,NUMCLUB,CURRES,CHLRES,EDUC,STUDNT,OCCUP,FINCMT,MGTCMT,CMPCOD,CMPLIT,HMANUR,BAREGND,CMPREM,FWOODSC,TREEDGD,GRAZSCR,CMPOTHR,CMPLOCN,PORLOCN,WATLOCN,OCCLOCN,TRLLOCN,OTHLOCN
18,4,2,38,1,1,630,100,4,20,4,7,2,1,2,2,1,1,2,2,1,5,1,1,1,1,2,1,1,2,1,2,1,1,1,5,1,2,2,9,2,2,29,1,3,2,1,2,9,2,1,,,,,,,,,,,1,,,2,11,1,1,9,1,9,1,9,1,9,1,1,1,0,0,0,0,0,0,0,2,2,1,,1,,2,1,3,3,4,1,2,2,2,4,99,99,9,9,99,1,1,0,3,3,3,2,2,3,1,1,2,1,4,1,1,1,3,1,1,1,1,1,2,3,3,2,3,3,1,2,2,3,2,2,0,1,6,7,7,8,2,2,1,1,1,1,0,0,1,1,,,2,4,13,1,60,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,4,2,38,1,1,666,100,4,4,1,,2,1,2,1,1,1,1,2,2,4,1,1,1,1,1,1,1,2,1,1,1,1,1,0,5,1,1,,1,2,99,1,3,1,,,,2,2,,,,,,,,,,,1,,,0,0,9,1,9,1,9,9,9,9,9,9,9,2,8,0,0,6,0,0,99,,,,,,,,,,4,999,999,2,99,9,1,99,99,9,2,20,1,1,0,1,3,3,2,1,3,1,1,1,3,1,3,3,1,3,4,2,2,3,3,3,2,1,2,2,2,1,3,2,3,3,1,0,1,4,3,5,6,1,1,0,0,2,2,0,0,2,1,,,5,4,17,1,10,,,,,,,,,,,,,,,,,
20,4,2,38,1,1,681,100,2,,,,2,1,2,1,1,2,1,2,1,4,1,1,1,2,2,2,1,1,1,3,1,1,1,7,4,2,1,,1,2,46,1,1,1,,,,2,1,,,,,,,,1,,,1,,,0,7,1,1,3,1,3,1,2,1,2,1,9,1,1,4,0,25,0,0,0,,,,,,,,,,4,10,0,5,99,9,1,99,99,9,2,99,2,3,0,3,2,2,1,4,4,1,1,1,1,1,3,3,1,3,1,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,1,0,2,6,4,7,3,0,1,0,0,1,1,0,0,1,1,,,5,5,17,1,10,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,2,2,38,1,1,594,100,1,,,,2,1,1,2,1,1,1,2,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,99,1,2,1,,,,1,,3,3,0,0,5,0,0,1,,,1,,,4,9,1,2,3,1,3,1,3,2,2,1,1,2,56,0,0,21,9,0,0,1,3,1,,2,2,2,1,1,3,3,1,1,2,2,1,19,0,1,1,,2,2,6,2,2,2,2,4,4,1,1,1,1,1,1,3,1,3,4,3,3,3,4,3,1,1,2,3,3,1,3,3,3,2,1,0,1,4,3,5,1,0,0,0,0,1,0,0,0,,2,1,1,4,3,14,1,10,,43,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1
22,2,2,38,1,1,595,100,1,,,,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,4,1,1,2,9,1,2,16,1,3,1,,,,2,2,,,,,,,,,,,1,,,1,5,2,2,3,2,2,1,3,2,2,2,9,2,4,0,0,0,0,0,0,2,3,1,,2,2,2,1,3,3,3,0,2,2,2,1,25,0,1,1,,2,1,0,4,2,3,2,1,3,1,1,1,2,1,1,1,1,3,4,2,1,3,1,3,1,1,1,2,3,1,2,2,3,3,2,0,2,4,4,5,3,0,0,2,0,1,0,0,0,2,1,,,4,4,12,1,60,,,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1
23,2,2,38,1,1,598,100,1,,,,1,1,1,2,1,1,2,1,2,3,1,1,1,1,1,1,1,1,1,0,1,1,1,0,5,1,2,1,1,2,99,2,2,1,,,,2,3,3,4,0,0,5,0,0,1,,,1,,,25,60,1,3,3,1,1,3,3,1,3,3,1,3,23,0,0,39,0,0,99,,,,,,,,,,7,4,0,1,99,9,1,99,99,9,1,,1,1,31,4,1,3,1,3,3,4,4,3,1,3,1,3,4,9,1,2,1,1,4,1,4,1,3,3,3,1,3,1,3,1,1,28,1,6,6,5,1,0,0,0,0,1,0,0,0,,1,,,2,2,16,1,10,,,,,,,,,,,,,,,,,
24,2,2,38,1,1,596,100,1,,,,1,1,2,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,6,9,1,1,,1,2,6,2,2,2,98,2,,1,,4,1,4,0,4,0,0,1,,,1,,,7,35,1,2,3,1,2,1,3,1,1,1,9,2,10,39,0,16,0,0,0,1,3,2,8,2,3,2,2,3,3,5,2,2,2,2,1,41,0,1,1,,2,2,0,1,3,2,2,4,3,1,1,3,1,1,3,3,1,3,4,3,1,3,1,3,4,1,2,3,3,1,3,1,3,2,2,0,2,5,3,5,2,0,0,2,0,0,0,0,0,3,1,,,4,3,11,2,72,,,2,1,1,1,1,2,1,1,2,2,1,1,2,1,1
25,4,1,6,1,1,611,100,1,,,,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,2,2,1,2,12,2,2,2,5,2,5,1,,5,3,0,0,3,7,0,2,6,0,1,,,1,7,2,1,3,2,1,1,3,1,3,1,9,2,1,0,0,22,4,0,0,2,2,1,,1,,1,1,2,3,1,5,1,99,9,1,99,99,9,1,,4,4,24,1,3,3,9,3,3,1,1,1,9,1,3,1,4,2,3,1,1,3,1,3,2,3,3,3,3,1,3,3,1,1,1,18,1,3,3,3,3,0,0,1,0,2,0,0,0,1,1,,,5,3,17,1,10,,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,4,1,6,1,1,611,100,1,,,,2,1,2,1,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,0,1,1,1,2,3,1,2,2,1,2,11,2,3,2,2,2,,2,2,,,,,,,,,,,1,,,1,5,1,1,3,2,2,1,2,2,3,2,9,2,10,20,43,22,21,0,0,2,2,2,8,2,5,1,1,2,3,1,0,1,1,2,1,99,99,9,1,,4,2,26,2,4,1,2,2,3,1,1,2,1,2,3,1,1,3,2,3,2,3,1,1,9,1,1,2,3,3,1,2,3,1,1,0,1,3,9,9,3,0,0,1,0,2,0,0,0,1,1,,,5,5,9,2,80,,,2,2,2,1,1,1,1,1,2,2,1,2,1,2,1
27,4,1,6,1,2,917,100,1,,,,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,3,1,1,2,1,1,2,11,1,3,2,3,2,,1,,5,99,99,99,6,0,0,2,6,0,1,,,4,27,2,1,3,2,1,2,2,2,2,2,1,4,0,0,0,69,0,0,0,2,4,1,,2,2,1,1,2,3,1,0,1,99,2,1,32,0,1,1,,4,9,26,3,1,4,1,3,3,1,1,1,2,1,3,1,1,3,3,1,3,3,1,3,1,3,2,1,3,1,3,1,1,3,1,0,1,1,1,3,3,0,0,1,0,2,0,0,0,1,1,,,6,3,17,1,10,,,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1
28,5,2,38,1,1,594,100,4,3,1,7,2,1,1,1,1,1,1,1,2,2,1,2,1,2,2,1,1,2,2,4,1,1,1,1,1,1,1,,1,2,10,9,3,2,20,2,9,1,,5,1,4,0,7,0,0,1,,,1,,,4,27,1,1,1,1,3,1,3,1,3,1,9,1,5,0,0,9,0,0,0,1,2,2,8,1,,2,1,2,3,3,1,3,1,2,1,22,0,1,1,,3,4,18,3,1,4,2,2,3,1,1,4,3,1,1,1,4,3,1,2,1,4,2,3,1,1,3,1,3,1,4,3,3,4,2,0,1,4,5,7,2,0,0,0,0,2,0,0,0,1,1,,,1,1,14,1,20,,,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1
29,5,2,38,1,1,594,100,1,,,,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,0,5,1,2,6,2,2,1,2,3,1,,,,2,2,,,,,,,,,,,1,,,1,4,1,2,3,1,2,1,3,2,3,2,1,2,10,24,33,38,15,0,0,,,,,,,,,,2,3,0,2,0,1,1,7,0,1,1,,4,2,30,4,3,1,1,4,4,1,1,1,9,4,4,4,1,4,3,3,3,3,3,3,4,1,4,4,3,9,3,3,3,3,1,1,2,3,1,5,4,0,0,0,0,2,2,0,0,3,1,,,5,4,17,1,10,1,,,,,,,,,,,,,,,,
30,5,2,38,1,1,991,100,1,,,,1,1,2,2,1,1,1,2,1,3,1,1,1,2,2,1,1,2,1,3,1,1,1,0,5,1,2,1,2,2,9,2,1,1,,,,1,,3,3,6,0,5,0,0,1,,,2,1,1,2,5,1,3,3,2,2,1,2,1,1,1,9,1,1,10,59,1,72,0,0,,,,,,,,,,4,5,0,0,0,1,1,11,0,1,2,25,3,1,0,1,3,3,2,1,3,1,1,1,3,1,1,3,1,3,4,3,3,3,3,3,1,1,1,3,3,1,3,3,3,3,1,0,1,7,7,7,2,0,0,0,2,0,0,0,0,3,1,,,3,1,15,2,80,,,,,,,,,,,,,,,,,
31,5,2,38,1,1,596,100,1,,,,2,1,2,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,2,1,1,1,0,5,1,1,,2,2,12,2,3,1,,,,2,2,,,,,,,,,,,1,,,0,0,1,2,3,1,2,1,1,2,2,1,9,1,4,33,60,0,0,0,0,,,,,,,,,,3,2,0,0,0,2,1,14,0,1,1,,1,2,0,3,3,3,2,2,3,1,1,2,3,2,4,3,4,3,2,3,1,3,1,3,3,1,3,3,3,1,2,2,3,2,1,0,1,6,2,7,4,0,0,1,1,1,1,0,0,3,1,,,9,3,13,9,99,,,,,,,,,,,,,,,,,
32,5,2,38,1,1,594,100,4,3,1,,2,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,0,1,1,1,0,5,1,1,,1,2,15,2,2,2,99,2,,2,3,,,,,,,,,,,1,,,99,3,1,3,3,1,2,2,3,1,3,2,9,1,1,10,21,0,0,0,0,,,,,,,,,,3,0,0,0,99,9,1,99,99,9,1,,1,1,0,3,4,2,2,2,3,3,2,3,2,3,3,1,3,3,3,3,3,3,1,2,3,3,3,3,3,2,3,2,1,2,1,0,2,4,4,4,4,2,0,0,0,1,1,0,0,1,1,,,1,1,16,1,99,,,,,,,,,,,,,,,,,
34,3,2,39,1,1,596,100,1,,,,1,1,1,2,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,0,5,1,1,,2,2,1,2,2,2,30,2,3,1,,3,1,4,12,4,7,0,2,15,0,1,,,25,50,1,2,9,2,1,1,9,9,9,1,9,2,1,20,0,22,0,0,0,,,,,,,,,,3,1,0,0,0,2,1,22,0,1,2,22,3,4,27,1,3,3,3,1,3,1,1,1,3,1,3,3,1,4,4,2,3,3,3,3,1,1,1,1,1,1,3,9,3,9,2,28,1,4,4,5,1,0,0,0,0,1,0,0,0,9,2,2,1,4,1,17,1,10,2,,,,,,,,,,,,,,,,
35,3,2,39,1,1,596,100,1,,,,1,1,2,1,1,1,1,2,1,2,1,2,1,1,2,1,1,1,1,2,1,1,1,0,5,1,2,1,1,2,20,1,3,2,99,2,,1,,5,3,0,0,7,0,0,1,,,1,,,3,10,1,1,3,3,2,1,2,1,1,2,9,2,56,0,0,23,0,0,0,,,,,,,,,,3,0,0,0,0,2,2,30,0,1,1,,2,2,0,2,2,3,1,1,3,1,1,2,2,2,2,1,1,1,1,1,3,1,1,3,1,1,1,3,3,1,3,1,3,2,1,0,1,3,3,5,1,0,0,0,0,0,0,0,1,,2,2,1,4,4,99,1,10,,,,,,,,,,,,,,,,,
37,3,2,39,1,1,551,100,1,,,,1,1,2,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,9,3,1,2,9,1,1,,,,,,,,2,3,,,,,,,,,,,1,,,1,12,1,3,3,1,1,2,1,3,1,2,9,1,52,0,0,21,0,0,0,1,1,1,,1,,1,1,3,6,2,0,2,99,9,1,99,99,9,1,,2,1,14,3,2,3,2,3,3,1,1,1,3,3,3,1,3,3,2,2,2,2,2,3,3,3,1,3,3,1,3,3,3,3,2,0,1,4,6,7,11,1,0,7,1,0,1,0,1,4,1,,,5,5,11,2,80,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,3,2,39,1,1,680,100,1,,,,2,1,2,2,1,1,1,2,1,4,1,1,1,1,2,2,1,1,1,2,1,1,1,4,3,1,2,3,1,1,,,,,,,,1,,5,3,0,0,7,0,0,1,,,1,3,1,1,4,1,1,3,1,1,1,1,1,1,1,3,1,1,20,0,21,13,69,0,1,2,2,8,2,2,2,1,3,3,3,1,2,12,2,4,98,0,2,1,,1,3,0,4,3,3,3,3,3,3,1,4,1,4,2,3,4,4,4,3,1,2,3,3,3,1,4,3,3,4,2,3,3,3,2,0,1,7,7,7,4,1,0,2,0,1,0,0,0,2,1,,,4,1,17,1,82,,,2,2,1,1,1,2,1,1,1,2,1,2,1,1,1
39,5,1,15,1,1,599,100,4,3,4,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,2,1,1,2,26,1,3,2,1,2,,1,,4,12,0,0,4,0,0,2,15,0,2,2,1,2,5,1,2,3,1,3,1,1,2,3,1,9,1,27,21,0,0,0,0,0,2,2,1,,1,,1,1,2,3,4,0,2,3,2,1,30,0,1,1,,1,2,0,4,1,3,1,1,3,2,1,3,2,3,1,1,1,1,1,1,3,3,1,1,3,3,3,3,3,1,3,3,4,2,1,0,2,5,5,6,2,0,0,0,0,2,0,0,0,3,1,,,4,1,17,1,92,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
41,5,1,15,1,1,598,100,4,6,5,1,2,1,1,1,1,1,1,2,1,2,1,2,1,1,2,2,1,1,1,3,1,1,1,3,1,1,2,1,1,2,64,1,3,2,8,3,1,1,,5,3,0,0,2,6,0,2,10,0,1,,,2,6,9,1,9,1,9,1,9,9,9,1,9,1,0,0,0,0,0,0,0,1,1,1,4,1,,1,1,3,3,999,999,0,1,2,1,22,0,1,1,,2,3,0,3,3,3,3,2,3,3,4,4,9,3,3,3,9,9,3,3,3,3,3,3,4,3,3,2,3,4,3,3,3,3,1,0,2,4,4,5,4,0,0,0,0,2,0,2,0,1,1,,,9,9,99,9,99,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
42,5,1,15,1,1,598,100,1,,,,1,1,2,2,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,0,1,1,1,5,3,1,2,1,9,2,16,1,3,1,,,,2,3,,,,,,,,,,,2,1,3,2,7,2,3,3,3,3,3,3,3,3,3,3,4,10,0,0,4,31,22,0,1,1,1,,1,,1,1,2,4,6,0,6,3,2,1,18,0,1,2,21,5,2,1,1,3,3,2,2,3,4,1,1,3,2,3,3,1,3,3,3,2,3,3,3,1,1,1,2,3,4,3,3,3,3,1,0,1,2,2,1,3,0,0,0,1,0,1,1,0,3,1,,,4,5,17,2,10,,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43,4,2,38,1,1,599,14,1,,,,2,1,2,2,1,1,1,1,1,3,1,1,1,1,2,1,1,2,1,2,1,1,1,2,3,1,2,1,1,2,12,1,3,1,,,,1,,3,3,4,0,2,7,0,1,,,1,,,10,20,1,2,3,1,2,2,2,2,2,2,3,1,20,4,10,22,26,0,2,3,3,1,,2,5,2,1,2,3,1,0,0,1,2,1,23,0,1,1,,1,1,0,4,3,1,1,4,3,4,4,2,1,4,1,2,4,4,2,3,1,2,1,2,3,1,2,3,3,1,3,1,3,2,1,0,1,4,4,6,1,99,99,99,99,99,99,99,99,,2,6,1,4,1,13,2,40,,,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2
44,8,1,16,1,1,599,100,5,2,1,,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,5,1,2,1,2,2,12,1,1,1,,,,2,2,2,3,4,0,7,0,0,1,,,1,,,2,3,1,9,9,1,2,1,3,1,3,1,2,2,12,0,0,0,0,0,2,,,,,,,,,,6,0,0,0,99,9,1,99,99,9,1,,3,9,0,2,3,3,1,9,3,2,2,2,3,3,3,3,1,3,2,2,3,2,3,3,3,3,3,3,2,2,3,3,3,1,1,0,1,4,4,4,2,0,0,0,0,2,0,0,0,3,1,,,4,4,17,1,10,,,,,,,,,,,,,,,,,
